baggy,carnage,morge,ladyarbida
usopp,nojiko
genzo,arlong,kuroobi
nojiko,usopp,arlong,genzo
arlong,nojiko,genzo
arlong,nojiko,genzo
genzo,arlong
genzo,arlong
genzo,arlong,usopp
usopp,nojiko
usopp,arlong
usopp,arlong
nojiko,arlong
usopp,arlong,genzo,kuroobi
genzo,nami
genzo,nami,nojiko
nami,nojiko
baggy,ladyarbida,carnage,morge
octo,zorro
octo,zorro,luffy,sandi,yosaku
luffy,sandi,yosaku
luffy,sandi,yosaku
luffy, sandi,yosaku
luffy,sandi,yosaku
luffy,sandi
luffy,sandi,yosaku
luffy,sandi,yosaku
octo,zorro
arlong,usopp,smack
arlong,usopp,smack,kuroobi
arlong,usopp,smack,kuroobi,nami
nami,usopp,arlong,zorro
ladyarbida,baggy,morge,carnage
usopp,arlong
arlong,usopp,smack,kuroobi,nami
kuroobi,nami,usopp
usopp,nami
octo,arlong
octo,arlong,smack,kuroobi
arlong,octo,nami,usopp
arlong,kuroobi,usopp,nami
arlong,usopp,nami
usopp,nami
usopp,nami
usopp,nami
arlong,smack,octo,kuroobi,usopp,johnny
kuroobi,arlong,smack,nami,usopp
kuroobi,arlong,nami
kuroobi,arlong,nami
kuroobi,arlong,nami,smack,octo,johnny
sandi,luffy,yosaku,zorro
ladyarbida,morge,carnage,baggy
sandi,luffy,yosaku,zorro
sandi,luffy,yosaku,zorro
sandi,luffy,yosaku,zorro
sandi,luffy,yosaku,zorro,johnny
nojiko,genzo
kuroobi,arlong,smack
kuroobi,smack,octo
amiralpudding,smack
octo,smack,kuroobi
amiralpudding,kuroobi,smack
genzo,nojiko
arlong,octo,smack,kuroobi
luffy,johnny,yosaku,sandi,zorro
luffy,johnny,yosaku,sandi,zorro,nami
luffy,johnny,zorro,sandi,nami
luffy,johnny,yosaku,sandi,zorro,nami
sandi,zorro,nami
sandi,zorro,nami,yosaku
luffy,johnny,yosaku,sandi,zorro,nami
luffy,johnny,yosaku,sandi,zorro,nami
johnny,yosaku,zorro,luffy,sandi
usopp,nami
usopp,nami
luffy,sandi,zorro,usopp
luffy,sandi,zorro,usopp
nojiko,nami
nojiko,nami
luffy,sandi,zorro,usopp
luffy,sandi,zorro,usopp,nojiko
nezumi,nami,genzo
luffy,sandi,zorro,usopp,nojiko
luffy,sandi,zorro,usopp,nojiko
nami,genzo
belmer,genzo,nami
belmer,genzo,nami
belmer,nojiko,nami
belmer,nojiko,nami
belmer,nojiko,nami
belmer,nojiko,nami
belmer,nojiko,nami
belmer,nojiko,nami
belmer,nojiko,nami,genzo
nami,genzo
belmer,nojiko,nami,genzo
belmer,nojiko,nami,genzo
genzo,nami,nojiko
arlong,octo,kuroobi,smack
arlong,kuroobi
arlong,genzo,nami,nojiko
belmer,nami,nojiko,genzo,arlong
smack,arlong,belmer
belmer,nami,nojiko,genzo
arlong,belmer
arlong,belmer,smack
arlong,belmer,genzo
arlong,belmer,nami,nojiko
belmer,arlong,genzo
belmer,arlong,genzo,kuroobi,octo
nojiko,nami
nojiko,nami,belmer,arlong,kuroobi,smack
belmer,nami,nojiko,arlong,genzo
arlong,kuroobi,nami,nojiko,belmer
belmer,nami,nojiko,arlong
belmer,arlong,nami,genzo,kuroobi
arlong,belmer,nami,nojiko,genzo
genzo,belmer,nami,nojiko
genzo,nami,nojiko,belmer
nami,nojiko,arlong,belmer
nami,nojiko,octo,arlong
nami,genzo,arlong,octo,nojiko
genzo,kuroobi,nami
arlong,nojiko,octo
genzo,nojiko
nami,genzo,nojiko
nami,genzo,nojiko
nami,genzo,nojiko
nami,genzo,nojiko
nami,genzo,nojiko
nami,nojiko
nami,nojiko
usopp,sandi,zorro,nojiko
usopp,sandi,zorro,nojiko
nami,nojiko
nami,luffy
genzo,nezumi,luffy
nami,genzo,nezumi
nezumi,nami
nezumi,nami,genzo
nami,nezumi
nami,genzo,nezumi
nami,genzo,nezumi
nami,genzo,nezumi,nojiko
nami,genzo,nezumi,nojiko
nami,nojiko,genzo,luffy
luffy,nami,arlong
nami,arlong
luffy,nami,arlong
nami,arlong
nami,arlong,genzo
nami,genzo
nojiko,genzo
nami,genzo,smack,arlong
genzo,nami,nojiko
nami,genzo,nojiko
nami,genzo,arlong
nami,luffy
nami,luffy
nami,luffy
nami,luffy
nami,luffy,usopp,zorro,sandi
usopp,zorro,sandi,nami
johnny,yosaku,genzo,nojiko,arlong,kuroobi
luffy,arlong
